﻿KM,KM+M,lat,lon,H3_Res_8,H3_Res_9,H3_Res_10,H3_Res_11,location_name,marea,mcenter,memo
-3,-3,25.052639,121.6038,884ba0a49bfffff,894ba0a49b3ffff,8a4ba0a49b1ffff,8b4ba0a49b1cfff,1(高鐵南港隧道)**,行動北區營運處,台北營運中心,站體
-2,-2,25.051325,121.5939,884ba0a499fffff,894ba0a499bffff,8a4ba0a499affff,8b4ba0a499aefff,1(高鐵南港隧道)**,行動北區營運處,台北營運中心,
-1,-1,25.049738,121.5842,884ba0a4d7fffff,894ba0a4d7bffff,8a4ba0a4d797fff,8b4ba0a4d792fff,2(高鐵南港隧道)**,行動北區營運處,台北營運中心,
0,0+000.0,25.049144,121.5744,884ba0a489fffff,894ba0a4897ffff,8a4ba0a48977fff,8b4ba0a48975fff,2(高鐵南港隧道)**,行動北區營運處,台北營運中心,
1,1+000.0,25.047826,121.565,884ba0a4c7fffff,894ba0a4c73ffff,8a4ba0a4c70ffff,8b4ba0a4c708fff,3(高鐵南港隧道)**,行動北區營運處,台北營運中心,
2,2+000.0,25.044613,121.5553,884ba0a4c5fffff,894ba0a4c4bffff,8a4ba0a4c4a7fff,8b4ba0a4c4a4fff,3(高鐵南港隧道)**,行動北區營運處,台北營運中心,
3,3+000.0,25.045011,121.5454,884ba0a413fffff,894ba0a413bffff,8a4ba0a4139ffff,8b4ba0a41391fff,4(高鐵南港隧道)**,行動北區營運處,台北營運中心,
4,4+000.0,25.044776,121.5354,884ba0a415fffff,894ba0a4157ffff,8a4ba0a41567fff,8b4ba0a41565fff,4(高鐵南港隧道)**,行動北區營運處,台北營運中心,
5,5+000.0,25.045981,121.5265,884ba0a40bfffff,894ba0a40afffff,8a4ba0a40acffff,8b4ba0a40acdfff,5(高鐵台板隧道)**,行動北區營運處,台北營運中心,站體
6,6+000.0,25.047551,121.5166,884ba0a409fffff,894ba0a4087ffff,8a4ba0a40857fff,8b4ba0a40852fff,5(高鐵台板隧道)**,行動北區營運處,台北營運中心,
7,7+000.0,25.044419,121.5087,884ba0a40dfffff,894ba0a40d7ffff,8a4ba0a40d77fff,8b4ba0a40d70fff,6(高鐵台板隧道)**,行動北區營運處,台北營運中心,
8,8+000.0,25.0363,121.5067,884ba0a463fffff,894ba0a4627ffff,8a4ba0a46247fff,8b4ba0a46263fff,6(高鐵台板隧道)**,行動北區營運處,台北營運中心,
9,9+000.0,25.033619,121.4987,884ba0a461fffff,894ba0a463bffff,8a4ba0a460cffff,8b4ba0a463b2fff,7(高鐵台板隧道)**,行動北區營運處,台北營運中心,
10,10+000.0,25.028231,121.4898,884ba0a465fffff,894ba0a4643ffff,8a4ba0a4641ffff,8b4ba0a4641cfff,7(高鐵台板隧道)**,行動北區營運處,台北營運中心,
11,11+000.0,25.025552,121.4809,884ba0a733fffff,894ba0a732bffff,8a4ba0a7329ffff,8b4ba0a73299fff,8(高鐵台板隧道)**,行動北區營運處,新北營運中心,
12,12+000.0,25.019709,121.4729,884ba0a737fffff,894ba0a736bffff,8a4ba0a736b7fff,8b4ba0a736b6fff,8(高鐵台板隧道)**,行動北區營運處,新北營運中心,
13,13+000.0,25.014316,121.4655,884ba0a549fffff,894ba0a54bbffff,8a4ba0a548cffff,8b4ba0a548c9fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,站體
14,14+000.0,25.007568,121.458,884ba0a54dfffff,894ba0a54cfffff,8a4ba0a54cc7fff,8b4ba0a54cc2fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+200.0,25.006223,121.4574,884ba0a545fffff,894ba0a5453ffff,8a4ba0a54527fff,8b4ba0a54521fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+300.0,25.005517,121.4568,884ba0a545fffff,894ba0a5453ffff,8a4ba0a54527fff,8b4ba0a54522fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+319.5,25.005379,121.4567,884ba0a545fffff,894ba0a5453ffff,8a4ba0a54507fff,8b4ba0a54504fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+400.0,25.004821,121.4562,884ba0a545fffff,894ba0a5453ffff,8a4ba0a54537fff,8b4ba0a54533fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+419.5,25.004696,121.456,884ba0a545fffff,894ba0a5453ffff,8a4ba0a54537fff,8b4ba0a54532fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+500.0,25.004244,121.4554,884ba0a545fffff,894ba0a0927ffff,8a4ba0a0924ffff,8b4ba0a09248fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+600.0,25.003856,121.4545,884ba0a093fffff,894ba0a0927ffff,8a4ba0a09247fff,8b4ba0a09243fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+700.0,25.00368,121.4536,884ba0a093fffff,894ba0a0927ffff,8a4ba0a09257fff,8b4ba0a09255fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+702.9,25.003678,121.4535,884ba0a093fffff,894ba0a0927ffff,8a4ba0a09257fff,8b4ba0a09255fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+800.0,25.003698,121.4526,884ba0a093fffff,894ba0a0927ffff,8a4ba0a09277fff,8b4ba0a09272fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+802.9,25.0037,121.4525,884ba0a093fffff,894ba0a0927ffff,8a4ba0a0920ffff,8b4ba0a09272fff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
14,14+900.0,25.003753,121.4516,884ba0a093fffff,894ba0a0923ffff,8a4ba0a0922ffff,8b4ba0a0920cfff,9(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+000.0,25.003809,121.4506,884ba0a093fffff,894ba0a0923ffff,8a4ba0a09207fff,8b4ba0a09204fff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+100.0,25.003864,121.4496,884ba0a093fffff,894ba0a0923ffff,8a4ba0a09237fff,8b4ba0a09235fff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
15,15+200.0,25.00392,121.4486,884ba0a093fffff,894ba0a0933ffff,8a4ba0a093affff,8b4ba0a093adfff,10(高鐵板橋隧道)**,行動北區營運處,新北營運中心,
